taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
hCoV-19/USA/WI-UW-3939/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3940/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(1/1)
hCoV-19/USA/WI-UW-3941/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.519(2/2)
hCoV-19/USA/WI-UW-3942/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3943/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.526(2/2)
hCoV-19/USA/WI-UW-3944/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 0; Oth alleles 1,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
hCoV-19/USA/WI-UW-3945/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
hCoV-19/USA/WI-UW-3946/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3947/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.427(1/1)
hCoV-19/USA/WI-UW-3948/2021,B.1.623,0.0,,,,,,PANGO-v1.17,4.1.3,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.03,Assigned from designation hash.
hCoV-19/USA/WI-UW-3949/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3950/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.526(2/2)
hCoV-19/USA/WI-UW-3951/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.526(2/2)
hCoV-19/USA/WI-UW-3952/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3953/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.427(1/1)
hCoV-19/USA/WI-UW-3954/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
hCoV-19/USA/WI-UW-3955/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3956/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3957/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3958/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3959/2021,B.1.596,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.596(1/1)
hCoV-19/USA/WI-UW-3960/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.519(1/1)
USA/WI-UW-3962/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
USA/WI-UW-3963/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 0; Oth alleles 1,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
USA/WI-UW-3964/2021,B.1.565,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.565(1/1)
USA/WI-UW-3965/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.519(1/1)
USA/WI-UW-3966/2021,R.1,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: R.1(1/1)
USA/WI-UW-3967/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.427(1/1)
USA/WI-UW-3968/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3969/2021,B.1.623,0.0,,,,,,PANGO-v1.17,4.1.3,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.05,Assigned from designation hash.
USA/WI-UW-3970/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
USA/WI-UW-3971/2021,B.1.596,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.596(1/1)
USA/WI-UW-3972/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.429(1/1)
USA/WI-UW-3961/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
USA/WI-UW-3973/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.09,Usher placements: B.1.2(1/1)
USA/WI-UW-3974/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
USA/WI-UW-3975/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.11,Usher placements: B.1.2(2/2)
USA/WI-UW-3976/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
USA/WI-UW-3977/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.427(1/1)
USA/WI-UW-3978/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3979/2021,B.1.429,0.0,,Epsilon (B.1.429-like),0.93,0.0,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.429(1/1)
USA/WI-UW-3980/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,scorpio call: Alt alleles 20; Ref alleles 1; Amb alleles 1; Oth alleles 1,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.1.7(4/4)
USA/WI-UW-3981/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3962/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3963/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 0; Oth alleles 1,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
hCoV-19/USA/WI-UW-3964/2021,B.1.565,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.565(1/1)
hCoV-19/USA/WI-UW-3965/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.519(1/1)
hCoV-19/USA/WI-UW-3966/2021,R.1,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: R.1(1/1)
hCoV-19/USA/WI-UW-3967/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.427(1/1)
hCoV-19/USA/WI-UW-3968/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3969/2021,B.1.623,0.0,,,,,,PANGO-v1.17,4.1.3,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.05,Assigned from designation hash.
hCoV-19/USA/WI-UW-3970/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3971/2021,B.1.596,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.596(1/1)
hCoV-19/USA/WI-UW-3972/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.429(1/1)
hCoV-19/USA/WI-UW-3973/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.09,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3974/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3975/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.11,Usher placements: B.1.2(2/2)
hCoV-19/USA/WI-UW-3976/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3977/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.427(1/1)
hCoV-19/USA/WI-UW-3978/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3979/2021,B.1.429,0.0,,Epsilon (B.1.429-like),0.93,0.0,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.429(1/1)
hCoV-19/USA/WI-UW-3980/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,scorpio call: Alt alleles 20; Ref alleles 1; Amb alleles 1; Oth alleles 1,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.1.7(4/4)
hCoV-19/USA/WI-UW-3981/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.2(1/1)
USA/WI-UW-3982/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
USA/WI-UW-3983/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3984/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.526(2/2)
USA/WI-UW-3985/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.1,Usher placements: B.1.1.519(1/1)
USA/WI-UW-3986/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.429(1/1)
USA/WI-UW-3987/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(4/4)
USA/WI-UW-3988/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.2(1/1)
USA/WI-UW-3989/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(1/1)
USA/WI-UW-3990/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.2(2/2)
USA/WI-UW-3991/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.2(1/1)
